SN1986G 256 1.81 0.07 0.001825 1.1 10.48 0.15 0.08273119459206128 567.9997279892435 -335.6504033744212 9016.014123388692 4752.634929736616 0.4191975393353566
SN1990N 227 0.95 0.05 0.003369 0.02 9.38 0.15 0.15627498955389404 -1861.5352811421126 -1658.1250441774164 8233.309256571756 11984.692000202813 0.791842682843808
SN1990N 280 0.95 0.05 0.003369 0.02 9.38 0.15 0.10493289732668933 -984.7244328677451 -78.13299864334323 9367.694363740673 8425.220266531669 0.5316931850383163
SN1990N 305 0.95 0.05 0.003369 0.02 9.38 0.15 0.18768148219555447 -1512.917199522712 -1138.030058154893 7820.0681350699215 11380.2462118918 0.9509788406069807
SN1998bu 237 1.06 0.04 0.002992 0.34 10.5 0.1 0.20515864274341553 -1441.763060007528 -945.9174847881058 7548.458239315592 7518.982815733087 1.0395353123508975
SN1998bu 281 1.06 0.04 0.002992 0.34 10.5 0.1 0.18685837502464503 -1388.8603191412274 -1012.4432622093726 7328.672652995857 7085.6777318467575 0.9468081707362521
SN1999aa 258 0.81 0.02 0.014907 0.03 10.5 0.2 0.10455865998098594 169.53820723975 948.8358678252373 8055.330080726594 6983.14737605206 0.5297969308476228
SN2002er 213 1.32 0.03 0.009063 0.36 11.7 0.3 0.09957353264847456 1758.1917595221207 1268.0760304624393 9622.06268362452 5611.994013134121 0.5045373764393185
SN2002bo 311 1.15 0.03 0.0043 0.43 13.2 0.2 0.4364571829172263 1830.9290514024744 2355.9598850648067 5516.085461726126 7789.702754526527 2.2115210351585994
SN2003cg 384 1.17 0.04 0.004113 1.33 10.9 0.3 0.24241069494384881 -740.6499394785549 446.0215563139247 8693.695051200459 10062.634161027041 1.2282908198062723
SN2003du 219 1.0 0.02 0.006408 0.01 10.4 0.3 0.13402262112480376 -1538.0215273375297 -828.6082442653164 7683.960788419168 7699.003776724353 0.6790903149388782
SN2003du 375 1.0 0.02 0.006408 0.01 10.4 0.3 0.1328213912963357 -536.0739583198159 -313.7509948615169 7761.6809886702895 7844.609621237028 0.6730037040691452
SN2003gs 207 1.93 0.07 0.00477 0.07 11.4 0.3 0.07762587199870523 2237.280635084571 2104.4474568910678 10598.093941562294 5356.562085739628 0.3933289576087073
SN2003hv 319 1.45 0.07 0.005624 -0.03 11.3 0.3 0.25373624234289927 -2968.16660847411 -3155.9950955393547 7712.126046193074 7731.80552968506 1.2856771735839256
SN2003kf 400 0.93 0.04 0.00739 0.27 11.1 0.3 0.1273461200934173 86.6032866029709 724.7497377117273 10172.298285590303 9278.765416034086 0.6452605991040276
SN2004eo 227 1.4 0.03 0.015718 0.23 10.7 0.3 0.14973688002161997 -291.6077219063395 68.23376059685859 8651.6706754804 8632.508730429816 0.7587141943534783
SN2005cf 317 1.07 0.03 0.006461 0.18 10.1 0.3 0.12225851802976369 82.70323331198703 555.1793536125338 7653.050273153166 7977.143075499364 0.6194818069964404
SN2006X 276 1.26 0.05 0.005294 1.42 16.1 0.2 0.1719816975241175 2638.1357119270588 3036.6382220613054 7854.345471686997 6256.636148996787 0.8714283018433009
SN2006X 359 1.26 0.05 0.005294 1.42 16.1 0.2 0.17467605147404824 2972.6280253231653 3202.706102313613 9324.328846990136 6462.505317603872 0.8850805469423685
SN2007af 303 1.16 0.03 0.005464 0.21 10.8 0.2 0.14055013395117932 583.460687572046 1352.6955118494443 7283.787563262783 7268.110621426479 0.7121651101027715
SN2007le 306 1.02 0.05 0.006721 0.37 12.9 0.6 0.14599933580206245 1662.885637052658 2359.2483529592646 7976.507719633298 7367.13883651871 0.7397761221097354
SN2008Q 200 1.25 0.08 0.0081 0.07 11.09 0.1 0.16908559861391678 -1690.3509888366086 -1007.9906365929592 10559.754764622696 6183.769658084992 0.8567538185022319
SN2011by 207 1.14 0.03 0.002843 0.01 10.35 0.14 0.12107484254864062 -1340.6078257111487 -983.2216788621117 8133.1968784195515 7524.451244699678 0.613484143702624
SN2011by 311 1.14 0.03 0.002843 0.01 10.35 0.14 0.20380123838213782 -1433.7067107522805 -957.0069424730043 7028.668183581719 8848.587010818437 1.0326573678109146
SN2011fe 203 1.18 0.03 0.000804 0.01 10.4 0.2 0.1633884165581798 -1222.4284147931862 -1097.9515094562853 7920.866360128331 9107.960318764675 0.8278862950645892
SN2011fe 224 1.18 0.03 0.000804 0.01 10.4 0.2 0.1688424430116387 -1139.0860703208384 -845.3343237167843 7602.613939140038 8956.37088309033 0.8555217532497815
SN2011fe 309 1.18 0.03 0.000804 0.01 10.4 0.2 0.24225297717257527 -1329.6172643691984 -625.9732032650734 7004.508533682745 9903.416274598914 1.227491666573283
SN2011fe 345 1.18 0.03 0.000804 0.01 10.4 0.2 0.33614782097818063 -1463.8651245873934 -1234.824874007423 6711.189267443189 11265.979163999744 1.703255224366323
SN2011fe 378 1.18 0.03 0.000804 0.01 10.4 0.2 0.48387413211503294 -1700.6362664811813 -1720.0459500767206 6423.111795917717 12999.999999999998 2.451781900779142
SN2012cg 286 0.83 0.03 0.001458 0.2 10.0 0.2 0.15926319863217875 -1196.752853532157 -540.8062484779541 7024.075554533684 9388.411719967871 0.8069838868214998
SN2012cg 342 0.83 0.03 0.001458 0.2 10.0 0.2 0.20946044130773184 -1245.852123526303 -503.0742771026664 7249.105899043762 10393.37187525719 1.061332451649679
SN2012fr 222 0.85 0.05 0.004 0.03 11.9 0.1 0.11761953037250977 2518.383188315787 3780.907141725387 7154.028851177482 6793.310952640912 0.5959761363661927
