0  1      2    3                 4                 5                  6                    7                    8
0  name   pha  U_FWHM_Fe         U_vshift_Fe       U_FWHM_Ni          U_vshift_Ni          U_ratioe_flux        U_ratio_high
1  1986G  256  81.0900002583426 49.551521576912485 14.359022643758465 30.150101584421662 0.003664194673576976 0.002896913653678545
2  1990N  227  431.24665744670733 214.692273990366 286.8944203703568 702.377894259376 0.03862058523775785 0.045413334296245035
3  1990N  280  94.23295660314868 15.308759460723827 493.6624922129669 70.01093064484614 0.05768643048252679 0.01844349802285668
4  1990N  305  174.83247598052407 74.08680527310523 1425.2895390000738 387.34951719547684 0.12707630277199886 0.02694291219616676
5  1998bu 209  151.84337188296902 22.739535576296575 89.45358785062929 34.86602365883503 0.026325029469037347 0.0108992199553135
6  1998bu 218  449.83254134498253 97.08609393010614 397.8075216813734 181.5653851075999 0.10012535567724934 0.04641159547431147
7  1998bu 237  149.26826417827104 22.90892967299508 91.39999981088998 33.82355035467987 0.02637478514439053 0.01099620088808957
8  1998bu 281  230.18088886476252 77.71211011375257 64.21639008358703 121.36948459578832 0.02543998224952255 0.020455089225937646
9  1999aa 256  125.18243778446022 54.409763664579025 120.10176934906954 51.880867781533105 0.011082139462340263 0.010070499691276852
10 2002bo 311  397.07591766771344 102.21169007725892 381.90219004772047 107.74057989926649 0.2014966985071336 0.07732657766729371
11 2003du 221  356.96478573624205 44.092669546741206 1055.3623230235003 167.89824623575458 0.23929783979322414 0.058567429337640205
12 2003du 375  376.3273118349419 141.094782616302 1097.2635989917735 738.9481203289923 0.12160451865338977 0.03470805548675845
13 2003gs 207  1030.8982301065994 603.9222128859202 2102.812497220181 1135.9729296012554 0.22420635608684591 0.04106867104040644
14 2003hv 319  223.9397401173499 107.91088627311154 113.14887034945063 98.47628682833637 0.035099692059733546 0.011793490902313682
15 2004eo 227  104.29480978099531 42.570834186865206 38.021159434098074 149.39702696915342 0.01705790388954071 0.004763765332752395
16 2005cf 319  580.7376050936464 200.12758406916484 1680.1042552916283 1857.6897827482853 0.2076493991516459 0.087965034637311
17 2006X  277  43.30341623049319 18.42632815954268 33.45111616330097 25.317095596896525 0.007982228109708852 0.007434589205092768
18 2006X  359  100.1114270981631 46.69508101124114 106.67681913473923 42.44787456818243 0.02185586417912145 0.017097480674791398
19 2007af 303  215.12278377718476 58.86480040544471 297.97701605378916 252.563427707492 0.022465891642388016 0.016167200691294858
20 2007le 306  144.87528360078844 52.13703567454113 131.84582529291436 135.74148911980038 0.021539958934480952 0.016996199038296925
21 2008Q  200  61.50058534010906 31.817088869493166 8.706171109732308 9.094753456589302 0.02053388585482804 0.02450447617950705
22 2011by 207  172.27560753867238 90.76098390914753 411.8831234246775 276.85017276222015 0.05916429983716133 0.00807159492840046
23 2011by 311  155.1687335864771 67.7109987056318 189.80510048461292 149.04012894765737 0.02092036254721548 0.011539936068909924
24 2011fe 203  409.7615399749252 254.84513067393348 1337.8363938293778 600.7974367741723 0.199615360197473 0.03514884105332792
25 2011fe 224  353.17160696254336 209.96343828919865 1123.9354373573685 516.9177335388767 0.16663229176970965 0.026854163715380644
26 2011fe 309  82.82756198370184 28.598991855313614 393.2571931936491 24.095198482969625 0.07061820064233322 0.015031209242359572
27 2011fe 345  57.796890203505264 18.096803371563144 202.62771673320427 16.877691962566114 0.047559022602489336 0.0121614538379096
28 2011fe 378  149.0047361042191 37.94813278423131 729.6708855974543 30.62401256049707 0.23609273104044157 0.062176340868186054
29 2012cg 286  194.7852144216858 132.43033673511894 2860.016026665874 264.15159008165773 0.23314167499775496 0.04563931696564286
30 2012cg 342  86.73516246928695 11.971344377788613 447.63087341108474 42.35495266589803 0.05888898103429056 0.015556022204098253
31 2012hr 284  144.39475283537953 44.97873611638779 574.1496208242188 365.0586952031048 0.03655782137079966 0.008578103317018821
32 2013aa 205  145.73194248723604 67.08171602730644 614.3029676474807 406.27257372154486 0.04188210395583967 0.011417919131873192
33 2013aa 353  187.93834376537927 76.85295063858821 628.6576887192327 543.2065378664083 0.07310668023345143 0.018534072515531307
34 2013aa 400  181.99349418360313 68.70133223070374 224.31959247966637 396.95975456256593 0.02724954498798238 0.00834354039358161
35 2013aa 426  429.541467558414 206.85850587035878 2912.5845688099216 582.9943704694434 0.4034535909711238 0.09371118316402928
36 2013cs 261  522.1280904932264 206.62586217130664 1017.8877764496739 943.5083126414185 0.045976441692399526 0.037446954544778796
37 2013cs 303  70.03876785338164 16.57171130498112 94.32278256373431 89.58734780559513 0.01262943169671528 0.007098254337171775
38 2013dy 333  155.238756944775 44.319901390543045 738.2896860998014 297.5029833084225 0.05897831489488499 0.012996372130139242
39 2013gy 275  400.4790917009299 37.01129763298491 689.2215138384837 267.10642253491693 0.11353560291486609 0.032559314863574024
40 2014J  211  400.4338717714395 82.99182188442265 220.23259819071424 190.67993388665988 0.08247660379909594 0.03398715543323236
41 2014J  230  70.75712343613482 11.224615212840368 260.15476586168717 118.01587340371401 0.033246866876977726 0.012436790322991926
42 2014J  263  56.2899156378626 7.013791739452344 104.94005946339173 47.5402778213583 0.015859046263756237 0.0052678341107803076
43 2014J  267  146.81620622009575 20.780374759686808 656.1034737080697 189.54555191191193 0.10199254135011841 0.03253427290448026
44 2014J  303  91.94605877173908 14.750113002740537 182.1483249406327 102.81995578022632 0.022772231391884206 0.008537288657222742
45 2014J  349  307.25806540725404 52.861912834512964 376.05571976685076 240.5738122426842 0.0906528380375838 0.038976368557251784
46 2014J  426  28.776597439267924 12.969735233098667 15.080830669304406 21.559925442666923 0.00517982847763312 0.0026156755378231597
