SN1986G 256 1.73 0.07 0.001825 0.6 10.48 0.15 0.05084278344708881 402.8549975874318 -1176.9927952357318 8673.508941898275 3519.585457112033 0.26564874018057794 0.3124568362624914 N
SN1990N 227 0.95 0.05 0.003369 0.0223 9.38 0.15 0.05006671205977066 -1787.8947295619562 -5261.509960301747 6873.929752576839 5462.588835615907 0.2615938405005514 0.289936505946396 N
SN1990N 280 0.95 0.05 0.003369 0.0223 9.38 0.15 0.11110772262112908 -1492.3744301667873 -4184.499281164111 6873.426469838573 9699.667903448715 0.5805273538840068 0 N
SN1990N 305 0.95 0.05 0.003369 0.0223 9.38 0.15 0.16249499661857317 -1570.8621143319167 -4620.114054678892 7002.021996391306 12552.15559474521 0.8490210057498908 0 N
SN1998bu 236 1.06 0.04 0.002992 0.0217 10.5 0.1 0.11705567819701111 -1209.137289836626 -1723.1327246491346 7476.89615395166 5930.879084866805 0.611604859839743 0 N
SN1998bu 280 1.06 0.04 0.002992 0.0217 10.5 0.1 0.09031568533593706 -1204.3823400105791 -1759.2617525653554 7669.702272199371 5045.719742346941 0.4718909233796274 0 N
SN1999aa 256 0.81 0.02 0.014907 0.0342 10.5 0.2 0.03144133770574741 248.83188129267708 -369.26542288062694 7404.216570381788 3512.8909009717995 0.16427801911781736 0 N
SN2002bo 311 1.15 0.03 0.0043 0.0216 13.2 0.2 0.551555935513758 1822.227704809487 1959.6559545954851 4675.181851362691 8752.459508687518 2.8818276552626365 0 N
SN2002dj 275 1.13 0.03 0.009393 0.0816 13.4 0.2 0.062233291953638296 1561.0859281736111 1928.1193161707843 8476.460599986021 6174.366405277041 0.32516307101830644 0 N
SN2003du 221 1.0 0.02 0.006408 0.0081 10.4 0.3 0.24625362920306304 -2024.9653340487007 -4768.598414856795 5136.745326060825 11047.26667806977 1.2866519479754124 0 N
SN2003gs 201 1.93 0.07 0.00477 0.0301 11.4 0.3 0.0364083644007398 1841.9487698203784 1249.518862942267 10222.378081153487 3813.286529986853 0.19023026434336038 0 N
SN2003hv 323 1.45 0.07 0.005624 0.0133 11.3 0.3 0.12281037000837947 -2632.907024533271 -3856.0429299070443 8142.849779460879 5634.1169331732135 0.6416725808843313 0 N
SN2003kf 397 0.93 0.04 0.00739 0.2687 11.1 0.3 0.027966045157540174 334.45202895792113 105.81718929045803 10682.448267395832 4960.42258846167 0.146119943878861 0 N
SN2004eo 228 1.4 0.03 0.015718 0.093 10.7 0.3 0.13654832716350274 -879.9370387885252 -2711.8349696162227 7151.72957229795 9130.491561923716 0.7134521091375632 0 N
SN2005cf 319 1.07 0.03 0.006461 0.1841 10.1 0.3 0.15046079595713333 -435.40757300436496 -2352.134399848305 6952.768480128772 12999.999999999998 0.786143444215151 0 N
SN2006X 277 1.26 0.05 0.005294 1.42 16.1 0.2 0.10228709611617132 2589.9211089653427 2179.1386702035397 7371.830137348806 5027.837819986783 0.5344404137170908 0 N
SN2006X 360 1.26 0.05 0.005294 1.42 16.1 0.2 0.10516834198650987 2765.8632338960265 2476.0054087050507 9101.306935348442 5323.259490353816 0.5494946511862582 0 N
SN2007af 301 1.16 0.03 0.005464 0.0338 10.8 0.2 0.0659572551836285 485.8055942768669 -27.103312040932526 6886.439909053576 6399.231995629527 0.344620427076619 0 N
SN2007le 304 1.02 0.05 0.006721 0.0287 12.9 0.6 0.06658001979196239 1688.642457231615 1304.7751162676536 7789.489071652008 5625.08010858026 0.3478743133199857 0 N
SN2008Q 201 1.25 0.08 0.0081 0.0716 11.09 0.1 0.10260748090022431 -1762.5299004047079 -1515.5526071318204 10508.78501044353 4752.799483007215 0.5361143939456767 0 N
SN2011by 206 1.14 0.03 0.002843 0.0119 10.35 0.14 0.12473803804708984 -1664.6783713034408 -4129.931781388985 5572.415698999938 7969.625997574049 0.6517444642717289 0 N
SN2011by 310 1.14 0.03 0.002843 0.0119 10.35 0.14 0.08113290853517842 -1036.5670058154585 -2042.9098476244633 6998.756651370917 5543.070997010202 0.4239117821310055 0 N
SN2011fe 205 1.18 0.03 0.000804 0.0077 10.4 0.2 0.18330374502123292 -1445.8712406901332 -3994.399763659795 5771.648562362931 9783.461152666512 0.9577447502642698 0 N
SN2011fe 226 1.18 0.03 0.000804 0.0077 10.4 0.2 0.10689784978523435 -1074.171668956192 -2979.519706554057 6239.570856659481 7338.678173837571 0.5585311660407563 0 N
SN2011fe 311 1.18 0.03 0.000804 0.0077 10.4 0.2 0.2625603681680968 -1522.9439441448278 -2643.628315042723 5735.077265971465 11975.279112696364 1.371853118501862 0 N
SN2011fe 347 1.18 0.03 0.000804 0.0077 10.4 0.2 0.3433334846136221 -1624.6242106120467 -3013.361091434175 6218.4470957238655 12999.999999999998 1.7938850209554944 0 N
SN2011fe 380 1.18 0.03 0.000804 0.0077 10.4 0.2 0.08466309639882726 -393.504725049465 -1175.818627670522 8792.808355551115 7247.843002904645 0.44235668020695423 0 N
SN2012cg 279 0.83 0.03 0.001458 0.2 10.0 0.2 0.05029235811979477 -1027.0266350364766 -2453.098771186546 6840.295685808918 6180.4892951451275 0.26277281984645007 0 N
SN2012cg 339 0.83 0.03 0.001458 0.2 10.0 0.2 0.19581458078706887 -1402.3606706181301 -2885.5093859072367 6508.287193421552 12999.999999999998 1.0231126851897665 0 N
SN2012fr 222 0.85 0.05 0.004 0.0177 11.9 0.1 0.043605630933891554 2328.502199912985 2558.610649574211 6809.226314213852 6502.003697051326 0.22783530202319802 0 N
