SN1986G 256 42.654843625150946 56.00330765680474 120.96720951874565 377.25383369789836 0.008475902266515484 6720 6750 7000 7400 7400 7560 7560 7610 51 50.0
SN1990N 227 41.974618443258045 227.26368268491836 213.82241566430025 149.06711215207895 0.007794567194918773 6750 6760 7010 7400 7400 7505 7680 7900 31 50.0
SN1990N 280 175.854225771196 716.9352654148834 390.0822525208499 1307.813013490729 0.0654477492183551 6775 7150 7150 7400 7400 7680 7680 7807 71 20.0
SN1990N 305 34.68155650320347 259.3369931393331 131.97795123450726 352.9205158572636 0.017578987295588547 6775 6781 6909 7400 7400 7500 7650 7802 31 50.0
SN1998bu 236 30.81609291634114 69.2690439802583 71.96773368457745 321.0172342099574 0.020728429902185597 6787 6800 7000 7400 7400 7500 7500 7655 31 50.0
SN1998bu 280 71.39310016927541 100.32167084693185 469.62561006298336 303.0916480763533 0.00999485869963594 6770 6800 7000 7400 7400 7500 7500 7651 31 50.0
SN1999aa 256 65.79937940429194 79.5339609097054 106.92698993734598 221.28234104904638 0.009854212927726294 6794 6800 7000 7400 7400 7560 7730 7798 11 50.0
SN2002bo 311 78.31573544179 125.22912361110885 596.0301648196395 665.9594669848279 0.14285702547657675 6839 6880 7070 7400 7400 7565 7565 7675 41 50.0
SN2002dj 275 75.17834948740926 135.0814406689173 210.74841752159736 209.78469275119636 0.014372007036636545 6820 6830 7050 7300 7300 7500 7500 7647 31 50.0
SN2003du 221 92.54202195339863 535.3874189504609 356.57071834732255 812.3552276716272 0.08497884790642507 6760 6791 6958 7300 7300 7491 7672 7711 21 40.0
SN2003gs 201 34.745565896554965 56.343688370636194 243.0413018861053 25.189210596535602 0.005519834034425845 6759 6800 7000 7400 7400 7540 7710 7763 31 50.0
SN2003hv 323 46.644860924362575 115.76249863265579 204.18943565863864 562.7321041117688 0.05231982094493997 6748 7230 7230 7400 7400 7500 7800 7906 31 50.0
SN2003kf 397 196.578730543489 529.8240381019216 214.69269760801626 1596.348669549074 0.020546259206683994 6832 7300 7300 7400 7400 7600 7710 7740 21 20.0
SN2004eo 228 47.44729797412905 148.03368878273184 149.84387665318914 316.54290770547254 0.039394329676590054 6768 6785 6920 7400 7400 7558 7560 7650 41 50.0
SN2005cf 319 38.84209943443975 1450.8212100358178 1121.6935889325887 473.30567547562976 0.021969173474010444 6780 7300 7300 7400 7400 7650 7900 7935 101 50.0
SN2006X 277 73.12590560863744 63.25207696481531 323.92736665686385 60.88080868472656 0.030251792549911043 6800 6820 7030 7400 7400 7580 7760 7850 11 50.0
SN2006X 360 35.35838525058272 45.45219822109216 214.76524373913801 73.53263109862863 0.02371775518217967 6900 7300 7300 7400 7400 7600 7730 7780 21 50.0
SN2007af 301 25.695309362000245 139.91829832042433 351.4000214890548 210.01374857393603 0.02690136196954096 6782 6800 7000 7400 7400 7520 7777 7832 21 50.0
SN2007le 304 44.717830277233794 92.28519421680663 289.1263581604309 79.00734985061831 0.019910952311090843 6814 6820 7000 7400 7400 7570 7730 7856 11 50.0
SN2008Q 201 109.68887855640222 21.998362907644662 227.4298023161239 82.67887055976014 0.02301100079449495 6790 6800 7000 7400 7400 7500 7800 7900 11 50.0
SN2011by 206 77.16711923360563 285.6166565493182 281.9090467768701 439.2685873370565 0.028815329223064026 6770 6800 7000 7400 7400 7500 7500 7700 11 50.0
SN2011by 310 12.36015961666945 42.971886355925996 158.416693686392 40.61937696627541 0.013485322697022468 6800 6810 7000 7400 7400 7500 7500 7780 21 50.0
SN2011fe 205 10.320117350017863 38.50846483168223 75.05595714693888 54.557022306509694 0.006743299283927689 6760 6780 7000 7400 7400 7500 7500 7690 11 50.0
SN2011fe 226 29.63867110405166 108.05323532651381 130.3755010198029 146.74366638154274 0.012238493885543184 6760 6770 7000 7400 7400 7500 7500 7700 11 50.0
SN2011fe 311 50.92124000168664 131.65396337856012 218.42674026829275 225.69559936401217 0.021679172915112878 6780 6817 7039 7253 7253 7500 7500 7800 11 20.0
SN2011fe 347 51.49102053942129 84.26125595102789 109.7899707010869 128.90933810398553 0.014336932470717961 6776 6800 6980 7400 7400 7500 7500 7814 11 20.0
SN2011fe 380 96.40092867864668 155.19996131249894 292.9944186771281 225.03880243751493 0.03788679327997289 6799 7300 7300 7400 7400 7530 7530 7811 21 20.0
SN2012cg 279 23.06903525684059 154.15702692903685 169.41417975887236 95.0523791839184 0.005012091831632613 6780 6800 7000 7400 7400 7570 7700 7800 21 50.0
SN2012cg 339 34.04765830566478 115.3330899626835 106.71319177817183 148.02774483074091 0.009986755356259336 6783 6800 7058 7238 7239 7400 7400 7737 11 50.0
SN2012fr 222 65.716816994913 200.65507791214404 97.41363991377942 159.18029787687354 0.007425025528439629 6789 6860 7100 7400 7400 7550 7600 7700 11 50.0
SN2012fr 261 27.495436942840445 731.2340911056325 1397.0320831227875 157.35394455369206 0.006965043836001175 6787 6860 7100 7400 7400 7610 7610 7663 21 50.0
SN2012fr 340 42.4062628360763 36.95122643525926 257.76507156712955 61.754158156541465 0.012949029936225978 6796 6810 7050 7400 7400 7540 7780 7863 11 50.0
SN2012fr 367 67.76951530446374 52.554624410937954 1022.9408601923092 440.0760120951619 0.030467267833123205 6790 6800 7000 7400 7400 7600 7850 7911 21 50.0
SN2012hr 283 41.7722979667201 449.4861367323399 357.55415556789717 891.013231501939 0.04184372412682607 6774 6790 6970 7400 7400 7600 7740 7750 31 50.0
SN2013aa 399 29.252835712319317 61.856943065422 115.986002727724 174.13489060298912 0.011685230087828282 6770 6780 7000 7400 7400 7610 7860 7900 11 50.0
