phase 261
delta 0.85 0.05
ebv 0.0177
Rv 3.1
redshift 0.004
flux_scale 1e16
resolution 3
vSi 11.90 0.10
3501.18154 2.272117e-16 2.272117e-16
3504.332313 1.293018e-16 1.293018e-16
3507.483085 -6.37602e-17 -6.37602e-17
3510.633858 1.623196e-16 1.623196e-16
3513.784631 4.972862e-17 4.972862e-17
3516.935404 8.056968e-17 8.056968e-17
3520.086176 2.443069e-16 2.443069e-16
3523.236949 4.06773e-17 4.06773e-17
3526.387722 2.02335e-16 2.02335e-16
3529.538495 1.580399e-16 1.580399e-16
3532.689267 1.627147e-16 1.627147e-16
3535.84004 1.074511e-16 1.074511e-16
3538.990813 1.64532e-16 1.64532e-16
3542.141586 4.37473e-17 4.37473e-17
3545.292358 3.146477e-17 3.146477e-17
3548.443131 1.258589e-16 1.258589e-16
3551.593904 1.949109e-16 1.949109e-16
3554.744677 1.153267e-16 1.153267e-16
3557.895449 5.211895e-17 5.211895e-17
3561.046222 1.12919e-16 1.12919e-16
3564.196995 1.243601e-16 1.243601e-16
3567.347768 5.698043e-17 5.698043e-17
3570.49854 5.163373e-17 5.163373e-17
3573.649313 1.727105e-16 1.727105e-16
3576.800086 1.802639e-16 1.802639e-16
3579.950859 2.560592e-17 2.560592e-17
3583.101631 1.895894e-16 1.895894e-16
3586.252404 7.331695e-17 7.331695e-17
3589.403177 1.601874e-16 1.601874e-16
3592.55395 3.51972e-17 3.51972e-17
3595.704722 1.349393e-16 1.349393e-16
3598.855495 -1.550041e-17 -1.550041e-17
3602.006268 1.111648e-17 1.111648e-17
3605.157041 1.183656e-16 1.183656e-16
3608.307813 8.476227e-17 8.476227e-17
3611.458586 1.502996e-16 1.502996e-16
3614.609359 6.282825e-17 6.282825e-17
3617.760132 1.083282e-15 1.083282e-15
3620.910904 6.617127e-17 6.617127e-17
3624.061677 4.59366e-17 4.59366e-17
3627.21245 3.344254e-17 3.344254e-17
3630.363223 9.29634e-17 9.29634e-17
3633.513995 1.473867e-16 1.473867e-16
3636.664768 1.17125e-16 1.17125e-16
3639.815541 1.323102e-16 1.323102e-16
3642.966314 4.545747e-17 4.545747e-17
3646.117086 8.69429e-17 8.69429e-17
3649.267859 7.908673e-17 7.908673e-17
3652.418632 7.696953e-17 7.696953e-17
3655.569405 9.894755e-17 9.894755e-17
3658.720177 6.051901e-17 6.051901e-17
3661.87095 1.660055e-17 1.660055e-17
3665.021723 2.792355e-17 2.792355e-17
3668.172496 8.292425e-17 8.292425e-17
3671.323268 -1.003445e-17 -1.003445e-17
3674.474041 1.174542e-16 1.174542e-16
3677.624814 -4.935e-21 -4.935e-21
3680.775587 2.71146e-17 2.71146e-17
3683.926359 -2.115045e-17 -2.115045e-17
3687.077132 1.38016e-16 1.38016e-16
3690.227905 7.82329e-17 7.82329e-17
3693.378678 4.742987e-17 4.742987e-17
3696.52945 -6.455896e-17 -6.455896e-17
3699.680223 7.35545e-17 7.35545e-17
3702.830996 1.465182e-17 1.465182e-17
3705.981769 1.315891e-16 1.315891e-16
3709.132541 -4.46e-20 -4.46e-20
3712.283314 8.522983e-17 8.522983e-17
3715.434087 -9.48635e-18 -9.48635e-18
3718.58486 1.070644e-16 1.070644e-16
3721.735632 -1.093323e-17 -1.093323e-17
3724.886405 8.912818e-17 8.912818e-17
3728.037178 4.250021e-17 4.250021e-17
3731.187951 7.600084e-17 7.600084e-17
3734.338723 6.793375e-17 6.793375e-17
3737.489496 5.967805e-17 5.967805e-17
3740.640269 9.222528e-17 9.222528e-17
3743.791042 -1.150069e-17 -1.150069e-17
3746.941814 5.548735e-17 5.548735e-17
3750.092587 7.564345e-17 7.564345e-17
3753.24336 3.03367e-17 3.03367e-17
3756.394133 2.703938e-17 2.703938e-17
3759.544905 4.219573e-17 4.219573e-17
3762.695678 1.838879e-17 1.838879e-17
3765.846451 4.997789e-17 4.997789e-17
3768.997224 7.354325e-17 7.354325e-17
3772.147996 6.396745e-17 6.396745e-17
3775.298769 -2.262785e-17 -2.262785e-17
3778.449542 -7.94875e-19 -7.94875e-19
3781.600315 1.13476e-17 1.13476e-17
3784.751087 3.764854e-17 3.764854e-17
3787.90186 -9.0442e-18 -9.0442e-18
