phase 222
delta 0.85 0.05
ebv 0.0177
Rv 3.1
redshift 0.004
flux_scale 1e16
resolution 3
vSi 11.90 0.10
3939.069937 1.111126e-16 1.111126e-16
3942.175649 1.430019e-16 1.430019e-16
3945.28136 1.04919e-16 1.04919e-16
3948.387071 1.329126e-16 1.329126e-16
3951.492783 7.47512e-17 7.47512e-17
3954.598494 1.321445e-16 1.321445e-16
3957.704205 2.425312e-16 2.425312e-16
3960.809917 8.381875e-17 8.381875e-17
3963.915628 1.728583e-16 1.728583e-16
3967.021339 2.170508e-16 2.170508e-16
3970.127051 1.394252e-16 1.394252e-16
3973.232762 1.993054e-16 1.993054e-16
3976.338473 1.682757e-16 1.682757e-16
3979.444185 2.135467e-16 2.135467e-16
3982.549896 2.275933e-16 2.275933e-16
3985.655607 2.017227e-16 2.017227e-16
3988.761319 1.942533e-16 1.942533e-16
3991.86703 8.97028e-17 8.97028e-17
3994.972741 1.640142e-16 1.640142e-16
3998.078453 1.96323e-16 1.96323e-16
4001.184164 2.30865e-16 2.30865e-16
4004.289875 2.322302e-16 2.322302e-16
4007.395586 2.781755e-16 2.781755e-16
4010.501298 1.589185e-16 1.589185e-16
4013.607009 2.67373e-16 2.67373e-16
4016.71272 1.847196e-16 1.847196e-16
4019.818432 9.824106e-17 9.824106e-17
4022.924143 1.713809e-16 1.713809e-16
4026.029854 1.957114e-16 1.957114e-16
4029.135566 1.974073e-16 1.974073e-16
4032.241277 1.830619e-16 1.830619e-16
4035.346988 1.929045e-16 1.929045e-16
4038.4527 2.118879e-16 2.118879e-16
4041.558411 1.713551e-16 1.713551e-16
4044.664122 1.394874e-16 1.394874e-16
4047.769834 1.347157e-16 1.347157e-16
4050.875545 1.198319e-16 1.198319e-16
4053.981256 1.28284e-16 1.28284e-16
4057.086968 7.485328e-17 7.485328e-17
4060.192679 1.563191e-16 1.563191e-16
4063.29839 1.27702e-16 1.27702e-16
4066.404101 1.374645e-16 1.374645e-16
4069.509813 5.239472e-17 5.239472e-17
4072.615524 6.345918e-17 6.345918e-17
4075.721235 2.097168e-16 2.097168e-16
4078.826947 9.336684e-17 9.336684e-17
4081.932658 1.890487e-16 1.890487e-16
4085.038369 1.409378e-16 1.409378e-16
4088.144081 1.88134e-16 1.88134e-16
4091.249792 1.175244e-16 1.175244e-16
4094.355503 1.71228e-16 1.71228e-16
4097.461215 9.963155e-17 9.963155e-17
4100.566926 1.345217e-16 1.345217e-16
4103.672637 9.470142e-17 9.470142e-17
4106.778349 1.311575e-16 1.311575e-16
4109.88406 8.306536e-17 8.306536e-17
4112.989771 7.126194e-17 7.126194e-17
4116.095483 9.838803e-17 9.838803e-17
4119.201194 1.410674e-16 1.410674e-16
4122.306905 1.032755e-16 1.032755e-16
4125.412617 1.420148e-16 1.420148e-16
4128.518328 1.681675e-16 1.681675e-16
4131.624039 1.252935e-16 1.252935e-16
4134.72975 9.105355e-17 9.105355e-17
4137.835462 8.532005e-17 8.532005e-17
4140.941173 1.577845e-16 1.577845e-16
4144.046884 1.599805e-16 1.599805e-16
4147.152596 1.288752e-16 1.288752e-16
4150.258307 1.112695e-16 1.112695e-16
4153.364018 1.253993e-16 1.253993e-16
4156.46973 1.974422e-16 1.974422e-16
4159.575441 2.27508e-16 2.27508e-16
4162.681152 1.524139e-16 1.524139e-16
4165.786864 1.129449e-16 1.129449e-16
4168.892575 1.760982e-16 1.760982e-16
4171.998286 1.852783e-16 1.852783e-16
4175.103998 1.663088e-16 1.663088e-16
