phase 367
delta 0.85 0.05
ebv 0.0177
Rv 3.1
redshift 0.004
flux_scale 1e16
resolution 3
vSi 11.90 0.10
3501.18154 3.3822e-18 3.3822e-18
3504.332313 4.420603e-17 4.420603e-17
3507.483085 -1.397975e-18 -1.397975e-18
3510.633858 4.840317e-17 4.840317e-17
3513.784631 3.149693e-17 3.149693e-17
3516.935404 -1.200295e-18 -1.200295e-18
3520.086176 2.843075e-17 2.843075e-17
3523.236949 5.65797e-17 5.65797e-17
3526.387722 4.023797e-17 4.023797e-17
3529.538495 5.482097e-17 5.482097e-17
3532.689267 2.945193e-17 2.945193e-17
3535.84004 6.320995e-17 6.320995e-17
3538.990813 5.981198e-17 5.981198e-17
3542.141586 4.487457e-17 4.487457e-17
3545.292358 -8.113574e-18 -8.113574e-18
3548.443131 3.4352e-19 3.4352e-19
3551.593904 9.475034e-17 9.475034e-17
3554.744677 -5.755825e-17 -5.755825e-17
3557.895449 3.087975e-17 3.087975e-17
3561.046222 2.236967e-17 2.236967e-17
3564.196995 1.857067e-17 1.857067e-17
3567.347768 5.967039e-17 5.967039e-17
3570.49854 3.496832e-17 3.496832e-17
3573.649313 -5.3369e-18 -5.3369e-18
3576.800086 3.81988e-17 3.81988e-17
3579.950859 6.221567e-17 6.221567e-17
3583.101631 3.670017e-17 3.670017e-17
3586.252404 1.566167e-17 1.566167e-17
3589.403177 4.224195e-17 4.224195e-17
3592.55395 4.537738e-17 4.537738e-17
3595.704722 4.215646e-17 4.215646e-17
3598.855495 2.894437e-17 2.894437e-17
3602.006268 -1.048812e-17 -1.048812e-17
3605.157041 4.00887e-17 4.00887e-17
3608.307813 1.17432e-17 1.17432e-17
3611.458586 3.106185e-17 3.106185e-17
3614.609359 4.290303e-17 4.290303e-17
3617.760132 4.027476e-17 4.027476e-17
3620.910904 7.860675e-18 7.860675e-18
3624.061677 -2.083409e-17 -2.083409e-17
3627.21245 1.71217e-17 1.71217e-17
3630.363223 3.515977e-17 3.515977e-17
3633.513995 3.63876e-17 3.63876e-17
3636.664768 7.698647e-18 7.698647e-18
3639.815541 4.04598e-17 4.04598e-17
3642.966314 5.478737e-18 5.478737e-18
3646.117086 5.979665e-17 5.979665e-17
3649.267859 6.508223e-17 6.508223e-17
3652.418632 5.507322e-17 5.507322e-17
3655.569405 2.262505e-17 2.262505e-17
3658.720177 3.219492e-17 3.219492e-17
3661.87095 3.012707e-17 3.012707e-17
3665.021723 1.211446e-17 1.211446e-17
3668.172496 -8.92049e-18 -8.92049e-18
3671.323268 -5.38434e-18 -5.38434e-18
3674.474041 3.021927e-17 3.021927e-17
3677.624814 1.757138e-17 1.757138e-17
3680.775587 -2.166457e-17 -2.166457e-17
3683.926359 -1.642503e-17 -1.642503e-17
3687.077132 -3.216695e-17 -3.216695e-17
3690.227905 2.681544e-17 2.681544e-17
3693.378678 2.059243e-17 2.059243e-17
3696.52945 9.82835e-18 9.82835e-18
3699.680223 1.853588e-17 1.853588e-17
3702.830996 9.58714e-18 9.58714e-18
3705.981769 4.627825e-17 4.627825e-17
3709.132541 1.66654e-17 1.66654e-17
3712.283314 4.770012e-17 4.770012e-17
3715.434087 2.030205e-17 2.030205e-17
3718.58486 5.04735e-18 5.04735e-18
3721.735632 2.347493e-17 2.347493e-17
3724.886405 1.010182e-17 1.010182e-17
3728.037178 3.24678e-17 3.24678e-17
3731.187951 -1.756495e-17 -1.756495e-17
3734.338723 -1.166807e-17 -1.166807e-17
3737.489496 2.17405e-17 2.17405e-17
3740.640269 1.028145e-17 1.028145e-17
3743.791042 2.345389e-17 2.345389e-17
3746.941814 1.678406e-17 1.678406e-17
3750.092587 2.469909e-17 2.469909e-17
3753.24336 -1.0839e-17 -1.0839e-17
3756.394133 7.704975e-18 7.704975e-18
3759.544905 6.488107e-18 6.488107e-18
3762.695678 -9.5505e-20 -9.5505e-20
3765.846451 -2.282492e-17 -2.282492e-17
3768.997224 2.168052e-17 2.168052e-17
3772.147996 1.140455e-17 1.140455e-17
3775.298769 2.070592e-17 2.070592e-17
3778.449542 1.113727e-17 1.113727e-17
3781.600315 1.403644e-17 1.403644e-17
3784.751087 2.185912e-17 2.185912e-17
