Abundances of radioactive isotopes at the end of the simulation in solar masses

 c14 1.02e-05
na22 1.46e-08
al26 1.82e-06
si32 3.04e-08
 p32 1.03e-06
 p33 7.57e-07
 s35 1.19e-06
cl36 1.48e-06
ar37 4.52e-05
ar39 2.39e-08
 k40 1.06e-07
ca41 7.79e-06
ti44 6.37e-06
 v48 9.80e-08
 v49 3.72e-07
cr48 1.79e-04
cr49 1.68e-05
cr51 1.11e-05
mn51 7.06e-05
mn52 4.58e-06
mn53 2.78e-04
mn54 3.04e-06
fe52 4.98e-03
fe53 7.76e-04
fe55 2.37e-03
fe59 5.03e-10
fe60 4.91e-11
co55 1.08e-02
co56 1.39e-04
co57 1.11e-03
co58 5.04e-06
co60 6.87e-09
ni56 4.15e-01
ni57 1.42e-02
ni59 4.80e-04
ni63 4.26e-09
zn62 9.92e-05
zn65 4.11e-10
ga65 1.66e-08
ge68 2.40e-10



Abundances of stable isotopes after about 2 Gyr in solar masses

  h1 2.02e-15
  h2 0.00e+00
 he3 0.00e+00
 he4 1.98e-04
 li6 5.57e-20
 li7 9.41e-19
 be9 1.00e-28
 b10 1.46e-14
 b11 9.81e-12
 c12 1.21e-02
 c13 6.57e-08
 n14 1.33e-05
 n15 1.71e-08
 o16 1.96e-01
 o17 1.74e-06
 o18 1.98e-08
 f19 2.13e-10
ne20 1.15e-02
ne21 1.68e-06
ne22 2.34e-04
na23 1.38e-04
mg24 3.32e-02
mg25 2.14e-04
mg26 3.27e-04
al27 1.64e-03
si28 3.28e-01
si29 2.08e-03
si30 4.76e-03
 p31 1.08e-03
 s32 1.10e-01
 s33 5.23e-04
 s34 6.22e-03
 s36 5.42e-07
cl35 2.89e-04
cl37 4.66e-05
ar36 1.50e-02
ar38 2.69e-03
ar40 2.18e-08
 k39 1.42e-04
 k41 7.81e-06
ca40 1.07e-02
ca42 5.71e-05
ca43 8.61e-08
ca44 6.45e-06
ca46 8.60e-11
ca48 5.21e-15
sc45 2.20e-07
ti46 2.72e-05
ti47 7.66e-07
ti48 1.80e-04
ti49 1.72e-05
ti50 4.58e-08
 v50 6.16e-09
 v51 8.19e-05
cr50 4.48e-04
cr52 5.62e-03
cr53 1.06e-03
cr54 4.94e-06
mn55 1.31e-02
fe54 1.13e-01
fe56 4.36e-01
fe57 1.53e-02
fe58 2.83e-05
co59 5.28e-04
ni58 7.29e-02
ni60 4.67e-03
ni61 1.69e-05
ni62 1.31e-04
ni64 5.97e-09
cu63 2.10e-07
cu65 2.58e-08
zn64 5.45e-07
zn66 5.97e-07
zn67 3.91e-10
zn68 2.58e-10
zn70 1.76e-16
ga69 1.39e-13
ga71 1.24e-15
ge70 2.32e-13



Abundances of stable elements after about 2 Gyr in solar masses

  h 2.02e-15
 he 1.98e-04
 li 9.96e-19
 be 1.00e-28
  b 9.82e-12
  c 1.21e-02
  n 1.33e-05
  o 1.96e-01
  f 2.13e-10
 ne 1.17e-02
 na 1.38e-04
 mg 3.38e-02
 al 1.64e-03
 si 3.35e-01
  p 1.08e-03
  s 1.16e-01
 cl 3.36e-04
 ar 1.77e-02
  k 1.49e-04
 ca 1.08e-02
 sc 2.20e-07
 ti 2.25e-04
  v 8.19e-05
 cr 7.13e-03
 mn 1.31e-02
 fe 5.64e-01
 co 5.28e-04
 ni 7.77e-02
 cu 2.36e-07
 zn 1.14e-06
 ga 1.41e-13
 ge 2.32e-13
