Abundances of radioactive isotopes at the end of the simulation in solar masses

 c14 6.39e-06
na22 6.99e-09
al26 8.62e-07
si32 1.78e-08
 p32 4.80e-07
 p33 3.38e-07
 s35 5.52e-07
cl36 6.72e-07
ar37 2.19e-05
ar39 1.13e-08
 k40 4.89e-08
ca41 3.80e-06
ti44 8.11e-06
 v48 6.23e-08
 v49 2.41e-07
cr48 2.67e-04
cr49 2.04e-05
cr51 5.95e-06
mn51 7.41e-05
mn52 3.80e-06
mn53 1.53e-04
mn54 2.02e-06
fe52 6.80e-03
fe53 7.92e-04
fe55 1.20e-03
fe59 3.16e-09
fe60 6.17e-10
co55 8.48e-03
co56 8.25e-05
co57 5.69e-04
co58 2.88e-06
co60 1.78e-08
ni56 7.78e-01
ni57 2.25e-02
ni59 3.01e-04
ni63 1.74e-08
zn62 6.86e-04
zn65 8.76e-10
ga65 8.57e-08
ge68 1.03e-09



Abundances of stable isotopes after about 2 Gyr in solar masses

  h1 1.18e-14
  h2 0.00e+00
 he3 0.00e+00
 he4 1.71e-03
 li6 1.67e-20
 li7 5.50e-19
 be9 7.55e-29
 b10 4.69e-15
 b11 6.13e-12
 c12 9.20e-03
 c13 4.52e-08
 n14 8.34e-06
 n15 1.03e-08
 o16 9.04e-02
 o17 1.12e-06
 o18 1.12e-08
 f19 1.22e-10
ne20 5.41e-03
ne21 9.63e-07
ne22 2.58e-04
na23 7.30e-05
mg24 1.46e-02
mg25 1.11e-04
mg26 1.71e-04
al27 7.32e-04
si28 1.98e-01
si29 9.49e-04
si30 2.12e-03
 p31 4.87e-04
 s32 7.74e-02
 s33 2.43e-04
 s34 2.84e-03
 s36 2.54e-07
cl35 1.35e-04
cl37 2.26e-05
ar36 1.28e-02
ar38 1.25e-03
ar40 1.00e-08
 k39 6.80e-05
 k41 3.80e-06
ca40 1.13e-02
ca42 2.65e-05
ca43 4.29e-08
ca44 8.14e-06
ca46 4.01e-11
ca48 1.86e-14
sc45 1.36e-07
ti46 1.33e-05
ti47 4.84e-07
ti48 2.67e-04
ti49 2.07e-05
ti50 3.43e-07
 v50 3.70e-09
 v51 8.06e-05
cr50 3.08e-04
cr52 7.23e-03
cr53 9.48e-04
cr54 1.08e-05
mn55 9.70e-03
fe54 6.71e-02
fe56 7.90e-01
fe57 2.31e-02
fe58 7.37e-05
co59 6.12e-04
ni58 6.63e-02
ni60 4.31e-03
ni61 9.18e-05
ni62 7.49e-04
ni64 4.72e-08
cu63 5.62e-07
cu65 1.31e-07
zn64 2.09e-06
zn66 3.04e-06
zn67 1.75e-09
zn68 1.13e-09
zn70 3.67e-15
ga69 3.30e-13
ga71 4.73e-15
ge70 2.52e-13



Abundances of stable elements after about 2 Gyr in solar masses

  h 1.18e-14
 he 1.71e-03
 li 5.67e-19
 be 7.55e-29
  b 6.13e-12
  c 9.20e-03
  n 8.35e-06
  o 9.04e-02
  f 1.22e-10
 ne 5.67e-03
 na 7.30e-05
 mg 1.49e-02
 al 7.32e-04
 si 2.01e-01
  p 4.87e-04
  s 8.05e-02
 cl 1.57e-04
 ar 1.41e-02
  k 7.18e-05
 ca 1.13e-02
 sc 1.36e-07
 ti 3.02e-04
  v 8.06e-05
 cr 8.50e-03
 mn 9.70e-03
 fe 8.80e-01
 co 6.12e-04
 ni 7.15e-02
 cu 6.94e-07
 zn 5.14e-06
 ga 3.35e-13
 ge 2.52e-13
