3807.15 9.968 9.353
3808.026 10.512 9.324
3808.904 5.955 9.421
3809.78 6.989 9.434
3810.659 10.868 9.346
3811.536 8.112 9.233
3812.412 4.891 9.055
3813.292 7.641 8.786
3814.169 0.648 8.554
3815.048 -0.743 8.267
3815.926 3.82 7.985
3816.806 5.766 7.78
3817.684 2.394 7.507
3818.562 2.622 7.254
3819.443 5.663 7.043
3820.322 7.886 6.844
3821.202 7.716 6.705
3822.082 5.456 6.637
3822.963 6.568 6.646
3823.842 8.139 6.702
3824.724 10.762 6.736
3825.604 7.267 6.577
3826.484 2.861 6.285
3827.366 6.399 5.929
3828.247 10.804 5.963
3829.13 6.636 6.781
3830.011 2.974 8.014
3830.894 9.969 8.326
3831.775 8.164 7.447
3832.657 6.595 6.273
3833.54 9.929 5.689
3834.422 4.947 5.876
3835.307 3.062 6.265
3836.189 6.857 6.219
3837.073 5.375 5.895
3837.956 2.285 5.652
3838.839 7.312 5.488
3839.724 1.21 5.411
3840.608 3.761 5.481
3841.493 5.97 5.782
3842.377 0.073 6.333
3843.263 2.528 6.795
3844.147 6.359 7.31
3845.032 4.772 7.689
3845.918 6.617 7.952
3846.803 12.466 8.002
3847.69 8.097 7.709
3848.575 7.633 7.273
3849.463 6.207 7.156
3850.348 9.233 7.209
3851.234 4.056 7.412
3852.122 9.784 7.465
3853.008 11.548 7.361
3853.897 5.482 7.111
3854.783 6.82 6.826
3855.672 7.12 6.763
3856.559 5.345 7.045
3857.446 5.527 7.034
3858.336 7.233 6.76
3859.223 6.082 6.085
3860.113 5.278 5.301
3861.001 7.494 4.783
3861.892 9.328 4.871
3862.78 9.753 5.541
3863.669 10.875 6.571
3864.56 8.721 7.419
3865.449 4.842 7.565
3866.34 9.362 6.908
3867.23 8.251 6.349
3868.121 10.44 6.658
3869.011 7.193 7.473
3869.901 5.121 7.888
3870.794 8.103 7.268
3871.684 6.897 5.888
3872.577 3.375 4.62
3873.468 4.334 4.366
3874.361 5.352 5.553
3875.252 5.438 6.898
3876.144 7.801 7.579
3877.038 6.53 7.437
3877.93 6.282 6.819
3878.824 5.376 6.424
3879.716 2.382 6.46
3880.611 3.629 6.452
3881.504 6.638 6.111
3882.396 5.312 5.567
3883.292 9.643 5.152
3884.185 6.989 5.341
3885.081 6.935 6.084
3885.975 8.199 6.661
3886.871 6.116 6.481
3887.765 6.25 5.68
3888.659 8.913 5.313
3889.556 6.846 6.222
3890.451 8.293 7.548
3891.348 5.087 7.891
3892.243 7.545 7.306
3893.141 10.645 6.86
3894.036 6.841 6.958
3894.934 8.899 7.266
3895.83 8.063 7.271
3896.726 3.711 7.156
3897.625 7.016 7.318
3898.522 7.614 7.881
3899.421 4.121 8.291
3900.318 7.329 8.207
3901.217 7.124 8.268
3902.115 10.337 8.38
3903.012 8.734 8.336
3903.912 7.485 7.975
3904.81 9.518 7.531
3905.711 10.057 7.518
3906.609 8.292 8.011
3907.51 9.213 8.664
3908.409 12.165 9.106
3909.308 8.18 9.457
3910.21 7.012 9.335
3911.109 7.265 9.448
3912.011 9.701 10.278
3912.911 8.847 10.923
3913.813 7.227 10.639
3914.714 7.92 9.911
3915.614 6.044 9.318
3916.517 7.413 9.201
3917.418 9.404 9.325
3918.322 5.699 9.182
3919.223 8.575 8.629
3920.127 7.577 7.989
3921.029 8.452 7.457
3921.931 9.483 7.279
3922.835 7.903 7.545
3923.737 7.998 8.003
3924.642 7.597 8.069
3925.545 4.092 7.44
3926.45 4.813 6.628
3927.354 10.695 6.102
3928.257 5.612 5.764
3929.163 3.092 5.397
3930.067 4.584 4.933
3930.973 4.63 4.483
3931.877 4.834 4.222
3932.784 6.437 4.115
3933.689 3.753 3.917
3934.594 2.846 3.691
3935.501 7.063 3.456
3936.406 9.192 3.285
3937.314 6.095 3.6
3938.22 5.675 4.454
3939.128 6.534 5.602
3940.034 5.615 6.615
3940.941 5.12 7.073
3941.849 5.84 7.041
3942.756 5.107 6.659
3943.665 6.775 6.46
3944.573 10.926 6.343
3945.482 9.519 6.563
3946.39 5.823 7.13
3947.298 10.183 7.763
3948.208 10.666 8.056
3949.116 5.82 7.894
3950.027 7.906 7.762
3950.936 9.677 8.242
3951.847 7.112 9.218
3952.756 6.795 9.381
3953.665 9.225 8.641
3954.577 8.209 8.446
3955.487 6.407 8.799
