0  1      2    3                 4                 5                  6                    7                    8
0  name   pha  U_FWHM_Fe         U_vshift_Fe       U_FWHM_Ni          U_vshift_Ni          U_ratioe_flux        U_ratio_high
1  1986G  256  81.0900002583426 249.551521576912485 14.359022643758465 230.150101584421662 0.003664194673576976 0.002896913653678545
2  1990N  227  431.24665744670733 414.692273990366 286.8944203703568 902.377894259376 0.03862058523775785 0.045413334296245035
3  1990N  280  94.23295660314868 215.308759460723827 493.6624922129669 270.01093064484614 0.05768643048252679 0.01844349802285668
4  1990N  305  174.83247598052407 274.08680527310523 1425.2895390000738 587.34951719547684 0.12707630277199886 0.02694291219616676
5  1998bu 237  149.26826417827104 222.90892967299508 91.39999981088998 233.82355035467987 0.02637478514439053 0.01099620088808957
6  1998bu 281  230.18088886476252 277.71211011375257 64.21639008358703 321.36948459578832 0.02543998224952255 0.020455089225937646
7  1999aa 256  125.18243778446022 254.409763664579025 120.10176934906954 251.880867781533105 0.011082139462340263 0.010070499691276852
10 2002bo 311  397.07591766771344 302.21169007725892 381.90219004772047 307.74057989926649 0.2014966985071336 0.07732657766729371
0  2002er 213  1864.4391963671376 885.0789782531391 2200.4282740158806 1481.9820026608204 0.35259242806237673 0.08363416105718283
0  2003cg 384 777.1125980162294 283.13732848135749 415.062023976933 470.8780898554807 0.3218715782426779 0.12151693406449023
8  2003du 219  356.96478573624205 244.092669546741206 1055.3623230235003 367.89824623575458 0.23929783979322414 0.058567429337640205
9  2003du 375  376.3273118349419 341.094782616302 1097.2635989917735 938.9481203289923 0.12160451865338977 0.03470805548675845
10 2003gs 207  1030.8982301065994 803.9222128859202 2102.812497220181 1335.9729296012554 0.22420635608684591 0.04106867104040644
11 2003hv 319  223.9397401173499 307.91088627311154 113.14887034945063 298.47628682833637 0.035099692059733546 0.011793490902313682
0  2003kf 400  395.8957354439162 387.12577175172103 153.5832662790666 823.7465924621101 0.11235312881547181 0.05658734682069394
12 2004eo 227  104.29480978099531 242.570834186865206 38.021159434098074 349.39702696915342 0.01705790388954071 0.004763765332752395
16 2005cf 319  580.7376050936464 400.12758406916484 1680.1042552916283 2057.6897827482853 0.2076493991516459 0.087965034637311
13 2006X  277  43.30341623049319 218.42632815954268 33.45111616330097 225.317095596896525 0.007982228109708852 0.007434589205092768
14 2006X  359  100.1114270981631 246.69508101124114 106.67681913473923 242.44787456818243 0.02185586417912145 0.017097480674791398
15 2007af 303  215.12278377718476 258.86480040544471 297.97701605378916 452.563427707492 0.022465891642388016 0.016167200691294858
16 2007le 306  144.87528360078844 252.13703567454113 131.84582529291436 335.74148911980038 0.021539958934480952 0.016996199038296925
17 2008Q  200  61.50058534010906 231.817088869493166 8.706171109732308 209.094753456589302 0.02053388585482804 0.02450447617950705
18 2011by 207  172.27560753867238 290.76098390914753 411.8831234246775 476.85017276222015 0.05916429983716133 0.00807159492840046
19 2011by 311  155.1687335864771 267.7109987056318 189.80510048461292 349.04012894765737 0.02092036254721548 0.011539936068909924
20 2011fe 203  409.7615399749252 454.84513067393348 1337.8363938293778 800.7974367741723 0.199615360197473 0.03514884105332792
21 2011fe 224  353.17160696254336 409.96343828919865 1123.9354373573685 716.9177335388767 0.16663229176970965 0.026854163715380644
22 2011fe 309  82.82756198370184 228.598991855313614 393.2571931936491 224.095198482969625 0.07061820064233322 0.015031209242359572
23 2011fe 345  57.796890203505264 218.096803371563144 202.62771673320427 216.877691962566114 0.047559022602489336 0.0121614538379096
24 2011fe 378  149.0047361042191 237.94813278423131 729.6708855974543 230.62401256049707 0.23609273104044157 0.062176340868186054
25 2012cg 286  194.7852144216858 332.43033673511894 2860.016026665874 464.15159008165773 0.23314167499775496 0.04563931696564286
26 2012cg 342  86.73516246928695 211.971344377788613 447.63087341108474 242.35495266589803 0.05888898103429056 0.015556022204098253
00 2012fr 222  343.03884194673634 254.8717747919223 443.24518455091226 566.48755122471914 0.02493611044693655 0.021334156223112164
00 2012fr 261  165.7388121896017 237.46405983440003 91.42783971488544 347.69788761929533 0.018396953855572665 0.018538035957785987
00 2012fr 340  217.39142008258278 282.19029457161196 147.52462763772428 295.70716414659566 0.023211121134738912 0.023560690423231768
00 2012fr 367  119.53812501931128 248.62166895807171 72.53879636376485 232.193653366795125 0.011279138733843615 0.01327213733931184
27 2012hr 284  144.39475283537953 244.97873611638779 574.1496208242188 565.0586952031048 0.03655782137079966 0.008578103317018821
28 2013aa 205  145.73194248723604 267.08171602730644 614.3029676474807 606.27257372154486 0.04188210395583967 0.011417919131873192
29 2013aa 353  187.93834376537927 276.85295063858821 628.6576887192327 743.2065378664083 0.07310668023345143 0.018534072515531307
30 2013aa 400  181.99349418360313 268.70133223070374 224.31959247966637 596.95975456256593 0.02724954498798238 0.00834354039358161
31 2013aa 426  429.541467558414 406.85850587035878 2912.5845688099216 782.9943704694434 0.4034535909711238 0.09371118316402928
32 2013cs 261  522.1280904932264 406.62586217130664 1017.8877764496739 1143.5083126414185 0.045976441692399526 0.037446954544778796
33 2013cs 303  70.03876785338164 216.57171130498112 94.32278256373431 289.58734780559513 0.01262943169671528 0.007098254337171775
34 2013dy 333  155.238756944775 244.319901390543045 738.2896860998014 497.5029833084225 0.05897831489488499 0.012996372130139242
35 2013gy 275  400.4790917009299 237.01129763298491 689.2215138384837 467.10642253491693 0.11353560291486609 0.032559314863574024
36 2014J  211  400.4338717714395 282.99182188442265 220.23259819071424 390.67993388665988 0.08247660379909594 0.03398715543323236
37 2014J  230  70.75712343613482 211.224615212840368 260.15476586168717 318.01587340371401 0.033246866876977726 0.012436790322991926
