phase 384
delta 1.05 0.07
ebv 0.20
Rv 3.1
redshift 0.001458
flux_scale 1e16
resolution 2
vSi 15.00 0.15
3017.40 -9.33406760e-15 3.74665670e-15
3017.60 -4.50551690e-15 3.63707520e-15
3017.80 3.77466215e-15 3.58122565e-15
3018.00 -1.14536907e-15 3.57088508e-15
3018.20 3.10336503e-15 3.51773079e-15
3018.40 -5.04949671e-15 3.44985360e-15
3018.60 -1.90543090e-15 3.32667595e-15
3018.80 -1.98547191e-15 3.34077354e-15
3019.00 3.37633029e-15 3.22739013e-15
3019.20 4.95470758e-16 3.18738435e-15
3019.40 4.30811672e-15 3.16675486e-15
3019.60 -2.22410333e-15 3.14564002e-15
3019.80 -7.91650863e-16 3.07376970e-15
3020.00 -3.35064762e-15 3.00267272e-15
3020.20 2.92164491e-15 2.99332761e-15
3020.40 5.27950130e-15 2.95085103e-15
3020.60 6.16101114e-16 2.94488114e-15
3020.80 -4.25153534e-15 2.84828910e-15
3021.00 6.69565992e-16 2.81905906e-15
3021.20 -1.78123766e-15 2.75891972e-15
3021.40 -2.43736642e-16 2.70079356e-15
3021.60 4.08590948e-15 2.72568956e-15
3021.80 1.79538215e-16 2.67490421e-15
3022.00 -3.75232927e-15 2.62714807e-15
3022.20 -2.38071040e-15 2.54926678e-15
3022.40 -2.14654751e-15 2.53470713e-15
3022.60 1.28730172e-15 2.48760638e-15
3022.80 2.55985300e-15 2.44962415e-15
3023.00 -5.81379169e-16 2.41396322e-15
3023.20 1.50152101e-16 2.38768572e-15
3023.40 -4.38485663e-15 2.35257387e-15
3023.60 -5.08926723e-16 2.29941430e-15
3023.80 -8.39121607e-16 2.31039417e-15
3024.00 3.03262783e-15 2.24771268e-15
3024.20 -1.49234002e-15 2.20864349e-15
3024.40 -5.12666691e-15 2.17424188e-15
3024.60 -4.23771049e-15 2.11096090e-15
3024.80 1.07086447e-15 2.09169662e-15
3025.00 1.92033444e-15 2.09209853e-15
3025.20 2.07324443e-15 2.02592070e-15
3025.40 -6.30143438e-16 1.99780047e-15
3025.60 -4.20012298e-16 2.01173523e-15
3025.80 -3.35399996e-15 1.98005090e-15
3026.00 1.53078748e-15 1.88805867e-15
3026.20 -9.68262314e-16 1.90293490e-15
3026.40 3.29961960e-15 1.93546330e-15
3026.60 -1.85133260e-15 1.85505361e-15
3026.80 -1.35960816e-15 1.80493764e-15
3027.00 -1.22839661e-15 1.76725981e-15
3027.20 3.53286643e-15 1.76005484e-15
3027.40 1.92867364e-16 1.71018366e-15
3027.60 1.84390814e-15 1.72065204e-15
3027.80 2.05470672e-16 1.68828182e-15
3028.00 -1.55970286e-15 1.67146960e-15
3028.20 -2.75214494e-15 1.63179055e-15
3028.40 1.19152580e-15 1.64196500e-15
3028.60 6.54988608e-17 1.58953398e-15
3028.80 2.29881883e-15 1.57019982e-15
3029.00 4.12393687e-16 1.58155387e-15
3029.20 -2.54397261e-15 1.51863034e-15
3029.40 -2.17437995e-15 1.48040575e-15
3029.60 1.02241620e-15 1.46719204e-15
3029.80 1.19171776e-15 1.43965182e-15
3030.00 1.37151522e-15 1.44910778e-15
3030.20 4.39524840e-16 1.38607783e-15
3030.40 1.51147852e-15 1.40773816e-15
3030.60 4.31574801e-16 1.36857591e-15
3030.80 -8.75137606e-16 1.32302459e-15
3031.00 -4.72618285e-16 1.35970917e-15
3031.20 -6.86019607e-16 1.29984649e-15
3031.40 -6.10179962e-15 1.30752230e-15
3031.60 -1.05815443e-15 1.30557222e-15
3031.80 8.96238891e-16 1.26889146e-15
3032.00 2.20809292e-15 1.25634383e-15
3032.20 1.49039036e-15 1.23040366e-15
3032.40 -3.74372972e-16 1.20975098e-15
3032.60 -2.93290897e-15 1.20369332e-15
3032.80 -7.05328200e-16 1.19836824e-15
3033.00 1.35297547e-15 1.15958165e-15
3033.20 6.92703015e-16 1.13220914e-15
3033.40 1.54979151e-15 1.13392894e-15
3033.60 1.73447757e-16 1.11984595e-15
3033.80 6.05792882e-16 1.11836894e-15
3034.00 -1.39049373e-15 1.09790314e-15
3034.20 -1.26404434e-16 1.07557514e-15
3034.40 1.92893410e-16 1.05289774e-15
3034.60 -9.91229719e-17 1.07461662e-15
3034.80 -1.50918804e-15 1.05421128e-15
3035.00 -1.43247862e-15 1.04909541e-15
3035.20 -9.95402309e-16 1.01156306e-15
3035.40 7.79464282e-16 1.00525415e-15
3035.60 3.98568998e-16 9.94131230e-16
3035.80 2.17395050e-15 9.69474313e-16
3036.00 5.46448251e-17 9.54186638e-16
3036.20 -1.05072658e-15 9.58362299e-16
3036.40 -1.01377636e-15 9.37944146e-16
3036.60 -4.86198864e-17 9.43080554e-16
3036.80 1.67296927e-15 9.17087548e-16
3037.00 1.61905732e-15 8.98645947e-16
3037.20 -1.51606605e-15 9.05266462e-16
3037.40 -1.16740336e-15 8.92932286e-16
3037.60 -4.41381193e-16 8.83946643e-16
3037.80 -4.45025922e-16 8.46391214e-16
3038.00 -2.97667728e-15 8.59427157e-16
3038.20 4.25511183e-16 8.46799960e-16
3038.40 -7.05429473e-16 8.36917733e-16
3038.60 -1.19585774e-15 8.14538328e-16
3038.80 -1.29885991e-15 8.19187904e-16
3039.00 -2.06303834e-16 7.94941162e-16
3039.20 8.58458998e-16 7.91655627e-16
3039.40 -3.33244149e-16 7.72011133e-16
3039.60 -1.87652717e-15 7.67398933e-16
3039.80 8.86618185e-16 7.66280849e-16
3040.00 1.24835755e-16 7.49413935e-16
3040.20 1.90561449e-15 7.46892848e-16
3040.40 4.64539815e-16 7.35653038e-16
3040.60 2.80526751e-16 7.19003970e-16
3040.80 1.38562427e-16 7.10126059e-16
3041.00 -6.84634391e-16 6.98588306e-16
3041.20 -9.61600705e-17 6.96913457e-16
3041.40 1.25596923e-15 6.78663814e-16
3041.60 9.46190542e-16 6.84910841e-16
3041.80 1.43860764e-16 6.73744300e-16
3042.00 -3.63337536e-16 6.60661611e-16
3042.20 -7.79639935e-16 6.54769333e-16
3042.40 4.97638156e-16 6.46960959e-16
3042.60 8.09885364e-16 6.27226521e-16
3042.80 1.15287558e-15 6.21983069e-16
3043.00 6.73948223e-16 6.23078971e-16
3043.20 -3.83284182e-16 6.12414826e-16
3043.40 -1.40871955e-15 6.22094348e-16
3043.60 2.12091055e-16 5.93821130e-16
3043.80 1.04726243e-15 5.95531130e-16
3044.00 9.51856557e-16 5.85769817e-16
3044.20 -1.06342625e-15 5.77509340e-16
3044.40 -8.71779650e-16 5.75542900e-16
3044.60 4.56851455e-16 5.57168585e-16
3044.80 1.17519289e-15 5.56774397e-16
3045.00 9.45078176e-16 5.45219226e-16
3045.20 3.62353919e-16 5.43705420e-16
3045.40 -5.71954762e-16 5.32195936e-16
3045.60 -8.29772427e-16 5.23632327e-16
3045.80 -1.15743897e-15 5.24730346e-16
3046.00 1.20006569e-15 5.18334824e-16
3046.20 2.35678183e-17 4.94547492e-16
3046.40 4.20336527e-16 4.96905790e-16
3046.60 -7.40386602e-17 4.92295390e-16
3046.80 -1.79766080e-16 4.91807393e-16
3047.00 -4.08411130e-17 4.82116966e-16
3047.20 3.52490935e-16 4.70493768e-16
3047.40 1.14516716e-15 4.65896550e-16
3047.60 -9.86176042e-17 4.61592987e-16
3047.80 -6.19282623e-16 4.58618525e-16
3048.00 -6.49626254e-16 4.48766738e-16
3048.20 -1.91102319e-16 4.42026393e-16
3048.40 2.73783733e-16 4.38510995e-16
3048.60 3.27435568e-16 4.33192078e-16
3048.80 -4.97388798e-17 4.24747080e-16
3049.00 -2.23476144e-16 4.26655789e-16
3049.20 -5.15016255e-16 4.16066951e-16
3049.40 6.93175977e-16 4.14886240e-16
3049.60 7.37780467e-16 4.10493607e-16
3049.80 -1.29368216e-16 4.03713161e-16
3050.00 -4.55534954e-16 3.98208559e-16
3050.20 -1.18930215e-16 3.99592213e-16
3050.40 -4.03796322e-17 3.87991885e-16
