phase 191
delta 1.30 0.02
ebv 0.05
Rv 3.1
redshift 0.007755
flux_scale 1
resolution 1
vSi 15.00 0.20
3.317049985195686531e+03 1.277943363498131729e-02 9.414100446289309226e-03
3.318234168718091496e+03 2.217269857248082426e-03 9.456641452908811155e-03
3.319418352240496461e+03 -5.535065857522531753e-04 9.410463477402503801e-03
3.320602535762901425e+03 -7.230523045370570133e-03 1.000665685520218603e-02
3.321786719285306390e+03 -8.674174621408166017e-03 1.037083069786337054e-02
3.322970902807711354e+03 -4.287622265153258339e-03 9.868592674867173245e-03
3.324155086330116319e+03 9.391705538087337032e-03 9.015452049011281332e-03
3.325339269852521284e+03 -3.238289753254349482e-05 8.989917756339907418e-03
3.326523453374926248e+03 -2.685503465414574610e-03 8.962074977352206540e-03
3.327707636897331213e+03 1.678400626809636777e-03 8.190573020138099125e-03
3.328891820419736177e+03 -7.782053444088958029e-03 8.319403808896338320e-03
3.330076003942141142e+03 -6.908850569425393356e-03 8.134339865116234705e-03
3.331260187464546107e+03 -3.554703311772799620e-03 8.122402598104514621e-03
3.332444370986951071e+03 5.560244727440645041e-04 8.250641514207100041e-03
3.333628554509356036e+03 -1.075037019952476344e-02 8.422228160691771007e-03
3.334812738031761000e+03 -1.040377841261884255e-03 8.604159343097576504e-03
3.335996921554165965e+03 -1.095581410635220083e-02 9.368816544100098606e-03
3.337181105076570930e+03 1.154143153695048191e-02 9.021201737032646245e-03
3.338365288598975894e+03 6.517888973975945362e-03 8.786831850426789908e-03
3.339549472121380859e+03 -2.934174143355250744e-03 8.468712225767820873e-03
3.340733655643785823e+03 -6.677958069681706917e-03 8.552767026168450401e-03
3.341917839166190788e+03 6.826394987284896583e-03 8.313606185225110717e-03
3.343102022688595753e+03 -1.252657141000723673e-02 7.869120539826442509e-03
3.344286206211000717e+03 2.635402820468529719e-03 7.732052888599507887e-03
3.345470389733405682e+03 8.060961120440373120e-03 7.583075307674125645e-03
3.346654573255810647e+03 8.904108107188390964e-03 7.288583978475598676e-03
3.347838756778215611e+03 7.739186521157152485e-03 7.286070897599702424e-03
3.349022940300620576e+03 7.855461620948758772e-03 7.144116348784682394e-03
3.350207123823025540e+03 -1.087978278222263666e-02 7.619982988136470188e-03
3.351391307345430505e+03 1.400799897524156222e-03 7.753303467817523019e-03
3.352575490867835470e+03 3.250028511339358994e-02 7.967971569825420264e-03
3.353759674390240434e+03 1.148481868925239728e-02 8.053239241737054216e-03
3.354943857912645399e+03 -4.477741400505220494e-03 7.411041654203586425e-03
3.356128041435050363e+03 1.384308993377937440e-02 7.411891628882694497e-03
3.357312224957455328e+03 1.100199150451474468e-03 6.973790446237570009e-03
3.358496408479860293e+03 9.489954752855070267e-04 6.757841015552846012e-03
3.359680592002265257e+03 1.216225651615274357e-02 6.576010757010091953e-03
3.360864775524670222e+03 1.364574702978402828e-03 6.704463041245470496e-03
3.362048959047075186e+03 5.073124521221240683e-03 7.012608390530466508e-03
3.363233142569480151e+03 1.609719570989174425e-02 6.857410124427056747e-03
3.364417326091885116e+03 5.613786251292910909e-03 7.612380112565135352e-03
3.365601509614290080e+03 -6.926555723534107882e-04 8.282603885676411912e-03
3.366785693136695045e+03 -9.598517996177590925e-03 9.039800976243794750e-03
3.367969876659100009e+03 1.708132500922297445e-02 8.945409699142663554e-03
3.369154060181504974e+03 -5.042586228763278229e-03 9.345867485512910147e-03
3.370338243703909939e+03 -2.047377548891092698e-03 8.716928530947904222e-03
3.371522427226314903e+03 3.670805629125871265e-03 8.614830067856946161e-03
