phase 263
delta 1.08 0.02
ebv 0.12
Rv 3.1
redshift 0.009346
flux_scale 1
resolution 2
vSi 11.09 0.08
      3962.00    0.0158286   0.00699445
      3964.00    0.0133173   0.00659287
      3966.00  0.000479980   0.00617981
      3968.00 -0.000788340   0.00587331
      3970.00   0.00109926   0.00602223
      3972.00   0.00695798   0.00619970
      3974.00    0.0123787   0.00644792
      3976.00   0.00484693   0.00650792
      3978.00    0.0102696   0.00662437
      3980.00    0.0157322   0.00682690
      3982.00   0.00433702   0.00671883
      3984.00   0.00409905   0.00666574
      3986.00   0.00968010   0.00662591
      3988.00 -0.000362590   0.00668898
      3990.00  -0.00262328   0.00654140
      3992.00    0.0140430   0.00664951
      3994.00   0.00334269   0.00653047
      3996.00   0.00600550   0.00651088
      3998.00   0.00337243   0.00636233
      4000.00   0.00303152   0.00633305
      4002.00  -0.00244340   0.00634682
      4004.00   0.00321271   0.00617437
      4006.00   0.00862965   0.00615695
      4008.00   0.00691290   0.00623072
      4010.00   0.00550576   0.00631700
      4012.00   0.00604323   0.00635124
      4014.00  -0.00111455   0.00645948
      4016.00    0.0127631   0.00647236
      4018.00   0.00349169   0.00645505
      4020.00   0.00143517   0.00657830
      4022.00   0.00506229   0.00666445
      4024.00    0.0125746   0.00661708
      4026.00    0.0192191   0.00648367
      4028.00    0.0126914   0.00642063
      4030.00 -0.000274210   0.00618168
      4032.00  0.000149200   0.00611677
      4034.00   0.00441894   0.00616318
      4036.00    0.0133529   0.00618323
      4038.00   0.00686411   0.00617216
      4040.00  -0.00851317   0.00623418
      4042.00   -0.0107217   0.00617726
      4044.00  -0.00605332   0.00683324
      4046.00   0.00480556   0.00793939
      4048.00  0.000121820   0.00785311
      4050.00   0.00708100   0.00674088
      4052.00   0.00206307   0.00614664
      4054.00   0.00540328   0.00603240
      4056.00  -0.00260618   0.00596006
      4058.00  -0.00718087   0.00583775
      4060.00    0.0116503   0.00586680
      4062.00   0.00435413   0.00587824
      4064.00   0.00189486   0.00592998
      4066.00   0.00624496   0.00593367
      4068.00   -0.0130590   0.00588602
      4070.00   0.00566906   0.00578420
      4072.00   0.00158124   0.00566984
      4074.00  0.000897180   0.00572858
      4076.00  -0.00260173   0.00595085
      4078.00 -0.000200120   0.00606291
      4080.00   0.00483992   0.00591858
      4082.00  -0.00158088   0.00592040
      4084.00   0.00495574   0.00577221
      4086.00    0.0186739   0.00588188
      4088.00   0.00851702   0.00588413
      4090.00   0.00642535   0.00572643
      4092.00   0.00651499   0.00576678
      4094.00   0.00771991   0.00570890
      4096.00  -0.00206996   0.00555759
      4098.00  -0.00194326   0.00543969
      4100.00    0.0153741   0.00561856
      4102.00  -0.00452883   0.00547765
      4104.00    0.0103835   0.00553912
      4106.00    0.0103060   0.00557658
      4108.00    0.0135793   0.00563229
      4110.00  -0.00345977   0.00560290
      4112.00  0.000840930   0.00557941
      4114.00   0.00184292   0.00566775
      4116.00   -0.0101769   0.00569358
      4118.00 -0.000522350   0.00549522
      4120.00   0.00679322   0.00561732
      4122.00    0.0176921   0.00574289
      4124.00   0.00553409   0.00568774
      4126.00 -0.000675300   0.00560019
      4128.00    0.0149947   0.00569724
      4130.00   0.00153822   0.00565684
      4132.00    0.0115421   0.00567548
      4134.00    0.0123141   0.00569685
      4136.00  -0.00200357   0.00552555
      4138.00   0.00596444   0.00556884
      4140.00   0.00454665   0.00562990
      4142.00  0.000780250   0.00538012
      4144.00  -0.00542456   0.00543448
      4146.00   0.00510060   0.00552661
      4148.00   0.00189728   0.00547611
      4150.00   0.00884072   0.00552525
      4152.00   0.00717796   0.00563214
      4154.00  0.000670610   0.00551781
      4156.00  -0.00345224   0.00543168
      4158.00 -0.000570250   0.00544714
      4160.00   0.00446496   0.00555233
      4162.00    0.0210030   0.00583799
      4164.00   0.00855239   0.00566345
      4166.00  -0.00661845   0.00562396
      4168.00   0.00178153   0.00551513
      4170.00   0.00394311   0.00562346
      4172.00   0.00452494   0.00546040
      4174.00 -0.000211510   0.00549400
      4176.00   0.00643140   0.00535039
      4178.00    0.0224737   0.00555801
      4180.00   0.00941116   0.00541108
      4182.00   0.00234723   0.00535358
      4184.00   0.00306693   0.00530135
      4186.00  -0.00766572   0.00523001
      4188.00   0.00467694   0.00531505
      4190.00   0.00336488   0.00523122
      4192.00   0.00691872   0.00529488
      4194.00  -0.00296094   0.00526229
      4196.00 -0.000740590   0.00516868
      4198.00    0.0113803   0.00512737
      4200.00    0.0186492   0.00527392
      4202.00    0.0147505   0.00521626
