1 Foley2011
2 Cristiani1992
3 Phillips1987
4 Zhao2015
5 Schlafly & Finkbeiner2011
6 Guillochon 2017
7 Wang2019
8 Suntzeff1999
9 Benetti2004
10 Anupama2005
11 Krisciunas2009
12 Leloudas2009
13 Burns2014
14 Wang2008
15 Phillips2013
16 Silverman2013
17 Maguire2018
18 Silverman2012
19 Graham2017
20 Pan2015
21 Zheng2013
22 Holmbo2019
23 Foley2014
24 Im2015
25 Graham in prep
26 Wang2020
27 Zeng2021
28 Li2019
29 Xi in prep
30 kawabata
31 Sai





















