phase 340
delta 0.85 0.05
ebv 0.0177
Rv 3.1
redshift 0.004
flux_scale 1e16
resolution 4
vSi 11.90 0.10
4014.895372 1.804393e-17 1.804393e-17
4018.667059 4.922977e-17 4.922977e-17
4022.438746 1.189672e-17 1.189672e-17
4026.210432 1.545897e-17 1.545897e-17
4029.982119 5.244253e-17 5.244253e-17
4033.753805 -9.962594e-18 -9.962594e-18
4037.525492 3.508332e-17 3.508332e-17
4041.297179 1.948419e-17 1.948419e-17
4045.068865 3.627447e-17 3.627447e-17
4048.840552 4.047856e-17 4.047856e-17
4052.612238 2.826017e-17 2.826017e-17
4056.383925 4.869017e-17 4.869017e-17
4060.155612 6.751696e-17 6.751696e-17
4063.927298 3.296724e-17 3.296724e-17
4067.698985 4.686992e-17 4.686992e-17
4071.470671 4.900395e-17 4.900395e-17
4075.242358 3.698654e-17 3.698654e-17
4079.014045 1.33832e-17 1.33832e-17
4082.785731 3.385439e-17 3.385439e-17
4086.557418 3.439019e-17 3.439019e-17
4090.329104 3.920652e-17 3.920652e-17
4094.100791 2.373514e-17 2.373514e-17
4097.872478 2.644548e-17 2.644548e-17
4101.644164 1.332529e-17 1.332529e-17
4105.415851 1.006322e-17 1.006322e-17
4109.187537 3.113945e-17 3.113945e-17
4112.959224 4.31525e-17 4.31525e-17
4116.730911 2.381263e-17 2.381263e-17
4120.502597 4.484136e-17 4.484136e-17
4124.274284 3.782081e-17 3.782081e-17
4128.045970 1.845859e-17 1.845859e-17
4131.817657 2.673721e-17 2.673721e-17
4135.589344 3.36688e-17 3.36688e-17
4139.361030 1.500228e-17 1.500228e-17
4143.132717 3.868299e-17 3.868299e-17
4146.904403 3.534014e-17 3.534014e-17
4150.676090 3.883557e-17 3.883557e-17
4154.447777 2.435706e-17 2.435706e-17
4158.219463 2.740815e-17 2.740815e-17
4161.991150 1.30379e-17 1.30379e-17
4165.762836 3.514016e-17 3.514016e-17
4169.534523 3.26594e-17 3.26594e-17
4173.306210 2.662726e-17 2.662726e-17
4177.077896 9.617935e-18 9.617935e-18
4180.849583 2.264423e-17 2.264423e-17
4184.621269 3.499346e-17 3.499346e-17
4188.392956 3.232853e-17 3.232853e-17
4192.164643 3.925703e-17 3.925703e-17
4195.936329 2.94235e-17 2.94235e-17
4199.708016 3.313583e-17 3.313583e-17
4203.479702 1.374043e-17 1.374043e-17
4207.251389 3.906415e-17 3.906415e-17
4211.023076 3.947001e-17 3.947001e-17
4214.794762 2.530317e-17 2.530317e-17
4218.566449 3.152328e-17 3.152328e-17
4222.338135 2.018246e-17 2.018246e-17
4226.109822 4.885608e-17 4.885608e-17
4229.881509 4.026754e-17 4.026754e-17
4233.653195 2.940703e-17 2.940703e-17
4237.424882 1.473036e-17 1.473036e-17
4241.196568 2.409893e-17 2.409893e-17
4244.968255 4.41157e-17 4.41157e-17
4248.739942 4.727581e-17 4.727581e-17
4252.511628 4.14567e-17 4.14567e-17
4256.283315 5.560053e-17 5.560053e-17
4260.055001 3.312641e-17 3.312641e-17
4263.826688 4.154499e-17 4.154499e-17
4267.598375 3.561714e-17 3.561714e-17
4271.370061 4.780441e-17 4.780441e-17
4275.141748 5.172344e-17 5.172344e-17
4278.913434 3.930747e-17 3.930747e-17
4282.685121 6.007061e-17 6.007061e-17
4286.456808 5.832354e-17 5.832354e-17
4290.228494 6.477231e-17 6.477231e-17
4294.000181 6.586763e-17 6.586763e-17
4297.771867 6.025223e-17 6.025223e-17
4301.543554 6.523684e-17 6.523684e-17
4305.315241 6.327511e-17 6.327511e-17
4309.086927 6.589769e-17 6.589769e-17
4312.858614 6.764673e-17 6.764673e-17
4316.630300 6.703994e-17 6.703994e-17
4320.401987 7.843939e-17 7.843939e-17
4324.173674 7.570143e-17 7.570143e-17
4327.945360 6.52168e-17 6.52168e-17
4331.717047 6.703733e-17 6.703733e-17
4335.488733 7.628035e-17 7.628035e-17
4339.260420 7.470757e-17 7.470757e-17
