"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"344","2002dj","","198.25142","-19.51908","SN Ia","0.009393","1055","2003-02-01 00:00:00.00","2452671.5","","ESO-NTT","EFOSC2-NTT","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2002dj_2003-02-01_00-00-00_ESO-NTT_EFOSC2-NTT_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3342.6227445603","7386.9479974599","2.0231742135565","Pignata et al. 2008","2008MNRAS.388..971P","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"344","2002dj","","198.25142","-19.51908","SN Ia","0.009393","1056","2003-03-26 00:00:00.00","2452724.5","","VLT-UT1","FORS1","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2002dj_2003-03-26_00-00-00_VLT-UT1_FORS1_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3555.0216813471","8548.2030289491","1.3198999068469","Pignata et al. 2008","2008MNRAS.388..971P","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
